...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ကနဦး	က န ဦး	ka- na- u:
ကနက္ကဒဏ်	က နက် က ဒဏ်	ka- ne' ga- dan
ကနန်း	က နန်း	ga- nan:
ကနား	က နား	ka- na:
ကနားဖျင်း	က နား ဖျင်း	ka- na- hpjin:
ကနုကမာ	က နု က မာ	ka- nu. ka- ma
ကနုတံ	က နု တံ	ka- nu. dan
ကနုတ်	က နုတ်	ka- nou'
ကနုတ်ပန်း	က နုတ် ပန်း	ka- nou' pan:
ကနေ့	က နေ့	ga- nei.
ကနွဲ့ကလျပြော	က နွဲ့ က လျ ပြော	ka- nwe. ka- ja. pjo:
ကနွဲ့ကလျပြော	က နွဲ့ က လျ ပြော	ka- nwe. ka- lja. pjo:
ကနွဲ့ကလျလုပ်	က နွဲ့ က လျ လုပ်	ka- nwe. ka- ja. lou'
ကနွဲ့ကလျလုပ်	က နွဲ့ က လျ လုပ်	ka- nwe. ka- lja. lou'
ကပက်ကစက်	က ပက် က စက်	ga- be' ga- se'
ကပိုကရို	က ပို က ရို	ga- bou ga- jou
ကပိုင်	က ပိုင်	ga- bain
ကပီ	က ပီ	ka- pi
ကပေါက်ကရောက်	က ပေါက် က ရောက်	ga- bau' ga- jau'
ကပေါက်ချိကပေါက်ချာ	က ပေါက် ချိ က ပေါက် ချာ	ga- bau' chi. ga- bau' cha
ကပေါက်တိကပေါက်ချာ	က ပေါက် တိ က ပေါက် ချာ	ga- bau' ti. ga- bau' cha
ကပျစ်ကညစ်	က ပျစ် က ညစ်	ga- bji' ka- nji'
ကပျာကယာ	က ပျာ က ယာ	ga- bja ga- ja
ကပျာကသီ	က ပျာ က သီ	ga- bja ga- thi
ကပြက်ကချော်	က ပြက် က ချော်	ga- bje' ga- cho
ကပြင်	က ပြင်	ga- bjin
ကပြား	က ပြား	ka. bja:
ကပြောင်းကပြန်	က ပြောင်း က ပြန်	ga- bjaun: ga- bjan
ကပြောင်းကပြန်ဖြစ်	က ပြောင်း က ပြန် ဖြစ်	ga- bjaun: ga- bjan hpji'
ကပွဲ	က ပွဲ	ka. bwe:
ကပွဲရုံ	က ပွဲ ရုံ	ka. bwe: joun
ကဖီး	က ဖီး	ka- hpi:
ကဖျက်ယဖျက်	က ဖျက် ယ ဖျက်	ka. bje' ja. bje'
ကဗျာ	က ဗျာ	ga- bja
ကဗျာစပ်	က ဗျာ စပ်	ga- bja sa'
ကဗျာဆရာ	က ဗျာ ဆ ရာ	ga- bja hsa- ja
ကဗျာဆန်	က ဗျာ ဆန်	ga- bja hsan
ကဗျာလွတ်	က ဗျာ လွတ်	ga- bja lu'
ကဗွီး	က ဗွီး	ga- bwi:
ကဘီလူး	က ဘီ လူး	ka. ba- lu:
ကဘုန်းသား	က ဘုန်း သား	ga- boun: dha:
ကမကထလုပ်	က မ က ထ လုပ်	ka- ma. ka- hta. lou'
ကမချ	က မ ချ	ka. ma- cha.
ကမန်းကတန်း	က မန်း က တန်း	ga- man: ga- dan:
ကမာ	က မာ	ka- ma
ကမာကျီ	က မာ ကျီ	ka- ma kyi
ကမူ	က မူ	ga- mu
ကမူးရှူးထိုး	က မူး ရှူး ထိုး	ga- mu: shu: dou:
ကမောက်ကမ	က မောက် က မ	ka- mau' ka- ma-
ကမျဉ်းနီ	က မျဉ်း နီ	ka- mjin: ni
ကမျောသောပါး	က မျော သော ပါး	ga- mjo: tho: ba:
ကမြင်း	က မြင်း	ka- mjin:
ကမြင်းကြောဆွဲ	က မြင်း ကြော ဆွဲ	ka- mjin: gyo: hswe:
ကမြင်းကြောထ	က မြင်း ကြော ထ	ka- mjin: gyo: hta.
ကမြင်းမ	က မြင်း မ	ka- mjin: ma.
ကမြော့	က မြော့	ka- mjo.
ကယား	က ယား	ka- ja:
ကယီ	က ယီ	ka- ji
ကယုကယ	က ယု က ယ	ka- ju. ka- ja.
ကယော	က ယော	ka- jo:
ကယောက်ကယက်	က ယောက် က ယက်	ga- jau' ga- je'
ကယောင်ကတမ်း	က ယောင် က တမ်း	ga- jaun ga- dan:
ကယောင်ချောက်ချား	က ယောင် ချောက် ချား	ga- jaun chau' cha:
ကရကဋ်	က ရ ကဋ်	ka- ra- ka'
ကရကတ်	က ရ ကတ်	ka- ra- ka'
ကရကွက်	က ရ ကွက်	ka- ra- gwe'
ကရနို့	က ရ နို့	ka- la- nou.
ကရနို့	က ရ နို့	ka- ra- nou.
ကရမက်	က ရ မက်	ka- la- me'
ကရမက်	က ရ မက်	ka- ra- me'
ကရဝိက်	က ရ ဝိက်	ka- ra- wei'
ကရဝိက်ဖောင်	က ရ ဝိက် ဖောင်	ka- ra- wei' hpaun
ကရဝေး	က ရ ဝေး	ka- la- wei:
ကရဝေး	က ရ ဝေး	ka- ra- wei:
ကရဝေးရွက်	က ရ ဝေး ရွက်	ka- la- wei: jwe'
ကရဝေးရွက်	က ရ ဝေး ရွက်	ka- ra- wei: jwe'
ကရက်	က ရက်	ka- re'
ကရင်	က ရင်	ka- jin
ကရင်ဝါး	က ရင် ဝါး	ka- ji nwa:
ကရင်သြသံ	က ရင် သြ သံ	ka- ji no: dhan
ကရာ	က ရာ	ga- ja-
ကရာတေး	က ရာ တေး	ka- ra tei:
ကရား	က ရား	ka- ja:
ကရား	က ရား	kha- ja:
ကရားရေပိတ်စကား	က ရား ရေ ပိတ် စ ကား	ka- ja: jei bei' za- ga:
ကရားရေလွှတ်ပြော	က ရား ရေ လွှတ် ပြော	ka- ja: jei lhu' pjo:
ကရိကထ	က ရိ က ထ	ka- ji. ka- hta.
ကရိကထခံ	က ရိ က ထ ခံ	ka- ji. ka- hta. khan
ကရိကထများ	က ရိ က ထ များ	ka- ji: ka- hta. mja:
ကရိန်း	က ရိန်း	ka- rein:
